,Hotel Image,Hotel Name,Tiper Properti,City,Address,Hotel Rating,Min,Max,Facilities,Lattitute,Longitude
0,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/11/10/3f01be8f-c95e-4b15-9ee8-252bd157d057-1636486522933-07ef5c772ba76a84b1f9a901120063b5.jpg,SPOT ON 90698 Delfi Homestay Syariah,Hotel,Banjarnegara,"Jl. Arjuna Selatan, Karangsari, Dieng Kulon, Banjarnegara, Jawa Tengah, Indonesia, Kabupaten Wonosobo",3.8,90806,160834,"['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Check-in Tanpa Antre', 'Resepsionis 24 Jam']",-7.211818,109.909442
1,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/10/1a9ee311-120f-40a6-9d45-48f33055adcb-1639082457528-1581dc20e03150f42cda7021779776b4.jpg,Charaka Residence,Hotel,Banjarnegara,"Jl. Dieng No.13, Krajan, Dieng Kulon, Kec. Batur, Kab. Banjarnegara, Jawa Tengah",3.7,284806,760000,"['WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Teras', 'Restoran', 'Parkir (Gratis)', 'Brankas Hotel', 'Resepsionis 24 Jam', 'Keamanan', 'Detektor Asap']",-7.202985,109.905053
2,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/03/22/fac8b115-64b7-46a7-818e-35daa5712de3-1647945932895-05cce219cda8a54ed0afee36eaf6ec13.jpg,RedDoorz Syariah near Komplek Candi Arjuna Dieng 2,Guest House,Banjarnegara,"Jl. Telaga Warna No.168, Dieng, Kejajar, Kabupaten Wonosobo, Jawa Tengah 56354, Indonesia",4.6,150256,333795,"['tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'AC', 'Ruang Merokok', 'AC', 'Ruang merokok khusus', 'WiFi Publik', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",-7.206518,109.911781
3,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/24/c162e1b5-d5a8-44ae-8a9f-798c9dee9333-1640338827607-82f9ed004ec5b66407779e1bfa124123.jpg,Tani Jiwo Hostel Dieng,Guest House,Banjarnegara,JL Raya Dieng Rt 03 /03 Dieng Kulon,4.0,97073,477300,"['WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Fasilitas Rapat', 'Penyimpanan Barang', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Fasilitas Rapat', 'Penyimpanan Barang', 'Perpustakaan', 'Ruang Merokok', 'Fasilitas rapat', 'Ruang merokok khusus', 'WiFi Publik', 'Restoran', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Tur', 'Staf Multibahasa', 'Resepsionis 24 Jam']",-7.20293,109.903314
4,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/14/3bce473b-cbef-4e9c-afc5-f7b9e562501d-1649906143465-35fc9d30a4fecb3e08df501597afb380.jpg,Homestay Merpati Dieng Syariah RedPartner,Hotel,Banjarnegara,"Jl. Telaga Warna No.168, RT.003/RW.001, Dieng, wonosobo, Kabupaten Wonosobo, Jawa Tengah 56354, Indonesia",4.4,243454,393822,"['tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",-7.206149,109.911612
5,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/05/bdccda24-3159-466c-8e89-c677133b9b54-1659678346135-c0faa65c5483f2d37ec39b8b93359f39.jpg,Homestay Nakula Sadewa,Homestay,Banjarnegara,"Jl. Telaga Warna RT 4 RW 1, Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah",Belum ada rating,200000,300000,"['InDOnesia CARE', 'tiket CLEAN', 'Parkir', 'AC', 'InDOnesia CARE', 'tiket CLEAN', 'Parkir', 'AC', 'AC', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'InDOnesia CARE', 'tiket CLEAN']",-7.207458,109.911926
6,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/08/05/6fd493e6-79c7-4493-9ebe-2368cba68781-1659677135006-889dbe8909a14950c9ef7406ef058fde.jpg,Homestay Nakula Sadewa 2,Homestay,Banjarnegara,"Jl. Telaga Warna RT 4 RW 1( depan SD Dieng ), Dieng, Kec. Kejajar, Kabupaten Wonosobo, Jawa Tengah",Belum ada rating,250000,250000,"['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Parkir', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'InDOnesia CARE', 'tiket CLEAN']",-7.209679,109.911688
7,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/12/21/722ee112-c14f-448a-8e61-68dd28f5e7b4-1640067332988-abf777d04bc3e2ac8645267b5f7b8e90.jpg,Flamboyan Homestay 1 Dieng RedPartner,Hotel,Banjarnegara,"Homestay Flamboyan Dieng, Jalan Dieng, RT.1/RW.1, Krajan, Dieng Kulon, Wonosobo Regency, Central Java, Indonesia",3.5,134550,198000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",-7.203209,109.911061
8,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/05/07/a589b13b-b023-4c9f-a43e-58bbfe856b73-1651926921327-f2b5c9a510d78b5cbf7ce0e0aa8784da.jpg,Diekul Potato Homestay by Luxury Degree,Homestay,"Pasurenan, Banjarnegara","QWX4+JPF, Krajan, Dieng Kulon, Kec. Batur, Kab. Banjarnegara, Jawa Tengah",Belum ada rating,310000,320000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Antar Jemput Bandara', 'tiket CLEAN', 'WiFi', 'Parkir', 'Antar Jemput Bandara', 'Parkir (Gratis)', 'tiket CLEAN', 'Shower']",-7.210109,109.848466
9,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/04/04/fcb5a1b7-cad6-4a42-abeb-0b5aafc9adb2-1649042129373-f389baa64a5cd3a35aca94c25fecd498.jpg,Kurnia Pandawa Homestay Syariah by Luxury Degree,Homestay,Banjarnegara,"Dieng Kulon RT 03 RW 03, Banjarnegara, Jawa Tengah, Indonesia, Banjarnegara",Belum ada rating,320000,320000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Antar Jemput Bandara', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Antar Jemput Bandara', 'Penyimpanan Barang', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Penitipan Bagasi', 'Keamanan']",-7.202131,109.905225
10,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2021/03/18/90f533c7-b15a-4d93-a1bd-b01e2071d473-1616084714911-7638ccae0f83b939ca96ffec49cc3d5f.jpg,Casablanca Family Syariah,Homestay,Banjarnegara,JL RAYA DIENG KULON RT 1 / RW 1 BATUR BANJARNEGARA JAWA TENGAH,5.0,209472,417687,"['tiket CLEAN', 'WiFi', 'Parkir', 'Antar Jemput Bandara', 'tiket CLEAN', 'WiFi', 'Parkir', 'Antar Jemput Bandara', 'ATM/Bank', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Staf Multibahasa']",-7.20257,109.909755
11,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2022/01/19/acc4b5e6-10c6-4f01-8299-21bcdf01f775-1642571125806-52d4ad144769fdee90627e614e83145b.jpg,Tikako Cottage,Cottage,"Banjarmangu, Banjarnegara","Dusun I, Kalilunjar, Banjarmangu, Banjarnegara, Central Java",4.1,400000,400000,"['tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Area Outbound', 'Kolam Renang Private', 'tiket CLEAN', 'Kolam Renang', 'WiFi', 'Parkir', 'Area Outbound', 'Kolam Renang Private', 'Kolam Renang Pribadi', 'Kolam Renang', 'Parkir (Gratis)', 'Area Bermain Anak']",-7.331235,109.710535
12,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/20/db876fdb-a56b-4614-8c7b-a048f5abc0ed-1603135279840-bfbf5f6d0e77a2a58bc6444aec77ae9f.jpg,RedDoorz Syariah near Alun Alun Kebumen,Hotel,"Kebumen, Kebumen","Jl. Kapten Piere Tendean No.15 A, Kepatihan, Kutosari, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah 54317, Indonesia",3.9,233750,247775,"['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",-7.666116,109.648014
13,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2020/10/31/1c345003-e168-4a22-8fb4-6126e8d21cc2-1604119491705-56b97be939b17ee905309767d3a03f66.jpg,Hotel Grand Putra Syariah,Hotel,"Kebumen, Kebumen","Jalan Pemuda No. 27, Dukuh, Kebumen, Kec. Kebumen, Kabupaten Kebumen, Jawa Tengah 54311, Indonesia",4.2,345000,345000,"['tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Antar Jemput Bandara', 'tiket CLEAN', 'WiFi', 'Parkir', 'Restoran', 'Resepsionis 24 Jam', 'Lift', 'AC', 'Antar Jemput Bandara', 'Penyimpanan Barang', 'Ruang Merokok', 'AC', 'Ruang merokok khusus', 'WiFi Publik', 'Lift', 'Restoran', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",-7.672982,109.660952
