,Resto Name,Address,Resto Phone Number,Tipe Masakan,Resto Rating,Link Website,Lattitute,Longitude
0,Bamboo Food & Beverages,"Jl. Jendral Panjaitan no. 56, Lumajang 67311 Indonesia",+62 821-3121-0600,"Asia, Indonesia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Jendral+Panjaitan+no.+56%2C+Lumajang+67311+Indonesia@-8.135174,113.21815",-8.135174,113.218147
1,Soto DOK Pak Ambar,"Jl. Ahmad Yani Dekat Stadion A Yani, Lumajang Indonesia",-,"Asia, Indonesia","4,5 ",https://maps.google.com/maps?saddr=&daddr=Jl.+Ahmad+Yani+Dekat+Stadion+A+Yani%2C+Lumajang+Indonesia,0.0,0.0
2,WaKul Bu Tjipto,"Jl. Ahmad Yani 176B, Lumajang 67312 Indonesia",+62 334 8797364,"Asia, Indonesia","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Ahmad+Yani+176B%2C+Lumajang+67312+Indonesia@-8.106833,113.23206",-8.106833,113.232063
3,Resto Bu Tjipto,"Jl. Kapten Suwandak 63, Lumajang Indonesia",+62 334 885619,"Cina, Asia, Indonesia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Kapten+Suwandak+63%2C+Lumajang+Indonesia@-8.137291,113.22279",-8.137291,113.222794
4,Tirta Arum,"Jl. Jendral Suprapto 66, Lumajang Indonesia",+62 851-0014-8210,Asia,"4,5 ",https://maps.google.com/maps?saddr=&daddr=Jl.+Jendral+Suprapto+66%2C+Lumajang+Indonesia,0.0,0.0
5,Depot Echo 39,"Jl. Gajah Mada No. 99 Sebelum pintu masuk SMKN 2, Kepuharjo, Lumajang 67311 Indonesia",+62 811-356-350,"Asia, Indonesia","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Gajah+Mada+No.+99+Sebelum+pintu+masuk+SMKN+2%2C+Kepuharjo%2C+Lumajang+67311+Indonesia@-8.1194,113.22603",-8.119400,113.226028
6,Resto Lounge Container,"Jl. Panjaitan 18B Barat ALUN- ALUN Lumajang, Lumajang 67313 Indonesia",+62 852-5878-0254,"Makanan Cepat Saji, Asia, Makanan Bakar, Makanan Sehat, Hidangan Kaki Lima, Indonesia","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Panjaitan+18B+Barat+ALUN-+ALUN+Lumajang%2C+Lumajang+67313+Indonesia@-8.135278,113.21844",-8.135278,113.218437
7,SaigonSan Restaurant & Rooftop Terrace,"Jl. Tugu no. 3, Malang 65119 Indonesia",+62 812-5997-7618,"Asia, Thai, Vietnam","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Tugu+no.+3%2C+Malang+65119+Indonesia@-7.976924,112.63244",-7.976924,112.632439
8,Taman Indie River View Resto,"Jl. Lawang Sewu Golf no 2-18, Malang 65111 Indonesia",+62 341 417777,"Asia, Indonesia, Internasional","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Lawang+Sewu+Golf+no+2-18%2C+Malang+65111+Indonesia@-7.939779,112.66463",-7.939779,112.664627
9,Javanine Resto,"Jln. Pahlawan Trip 5, Malang 65112 Indonesia",+62 623 41557989,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jln.+Pahlawan+Trip+5%2C+Malang+65112+Indonesia@-7.967432,112.62114",-7.967432,112.621140
