Place_Id,Place_Name,User_Id,Place_Ratings
1,Monumen Nasional,36,4
1,Monumen Nasional,38,2
1,Monumen Nasional,64,2
1,Monumen Nasional,74,2
1,Monumen Nasional,86,4
1,Monumen Nasional,100,1
1,Monumen Nasional,105,5
1,Monumen Nasional,118,4
1,Monumen Nasional,159,1
1,Monumen Nasional,162,5
1,Monumen Nasional,167,5
1,Monumen Nasional,169,5
1,Monumen Nasional,187,4
1,Monumen Nasional,189,5
1,Monumen Nasional,227,5
1,Monumen Nasional,235,4
1,Monumen Nasional,254,5
1,Monumen Nasional,265,4
2,Kota Tua,2,5
2,Kota Tua,17,3
2,Kota Tua,30,2
2,Kota Tua,43,3
2,Kota Tua,46,5
2,Kota Tua,56,2
2,Kota Tua,57,4
2,Kota Tua,59,1
2,Kota Tua,75,5
2,Kota Tua,94,5
2,Kota Tua,98,3
2,Kota Tua,110,2
2,Kota Tua,134,3
2,Kota Tua,137,1
2,Kota Tua,154,3
2,Kota Tua,160,2
2,Kota Tua,160,3
2,Kota Tua,175,1
2,Kota Tua,188,1
2,Kota Tua,203,3
2,Kota Tua,217,3
2,Kota Tua,227,5
2,Kota Tua,231,1
2,Kota Tua,292,3
2,Kota Tua,295,2
3,Dunia Fantasi,17,2
3,Dunia Fantasi,55,4
3,Dunia Fantasi,74,3
3,Dunia Fantasi,97,1
3,Dunia Fantasi,105,5
3,Dunia Fantasi,185,1
3,Dunia Fantasi,189,4
3,Dunia Fantasi,190,1
3,Dunia Fantasi,206,1
3,Dunia Fantasi,220,1
3,Dunia Fantasi,231,2
3,Dunia Fantasi,240,3
3,Dunia Fantasi,242,4
3,Dunia Fantasi,255,1
3,Dunia Fantasi,267,4
3,Dunia Fantasi,280,1
3,Dunia Fantasi,285,5
3,Dunia Fantasi,285,4
3,Dunia Fantasi,295,1
4,Taman Mini Indonesia Indah (TMII),4,4
4,Taman Mini Indonesia Indah (TMII),5,3
4,Taman Mini Indonesia Indah (TMII),6,4
4,Taman Mini Indonesia Indah (TMII),26,3
4,Taman Mini Indonesia Indah (TMII),36,2
4,Taman Mini Indonesia Indah (TMII),38,4
4,Taman Mini Indonesia Indah (TMII),53,2
4,Taman Mini Indonesia Indah (TMII),91,1
4,Taman Mini Indonesia Indah (TMII),108,1
4,Taman Mini Indonesia Indah (TMII),111,3
4,Taman Mini Indonesia Indah (TMII),113,5
4,Taman Mini Indonesia Indah (TMII),127,4
4,Taman Mini Indonesia Indah (TMII),143,5
4,Taman Mini Indonesia Indah (TMII),150,4
4,Taman Mini Indonesia Indah (TMII),171,1
4,Taman Mini Indonesia Indah (TMII),205,2
4,Taman Mini Indonesia Indah (TMII),220,4
4,Taman Mini Indonesia Indah (TMII),247,5
4,Taman Mini Indonesia Indah (TMII),276,1
4,Taman Mini Indonesia Indah (TMII),288,1
4,Taman Mini Indonesia Indah (TMII),290,1
5,Atlantis Water Adventure,1,5
5,Atlantis Water Adventure,4,5
5,Atlantis Water Adventure,11,5
5,Atlantis Water Adventure,12,5
5,Atlantis Water Adventure,35,4
5,Atlantis Water Adventure,53,4
5,Atlantis Water Adventure,87,4
5,Atlantis Water Adventure,87,3
5,Atlantis Water Adventure,87,5
5,Atlantis Water Adventure,92,3
5,Atlantis Water Adventure,103,2
5,Atlantis Water Adventure,106,2
5,Atlantis Water Adventure,109,5
5,Atlantis Water Adventure,116,2
5,Atlantis Water Adventure,120,1
5,Atlantis Water Adventure,127,2
5,Atlantis Water Adventure,139,5
5,Atlantis Water Adventure,179,5
5,Atlantis Water Adventure,183,2
5,Atlantis Water Adventure,212,3
5,Atlantis Water Adventure,222,4
5,Atlantis Water Adventure,226,2
5,Atlantis Water Adventure,227,4
5,Atlantis Water Adventure,232,4
5,Atlantis Water Adventure,238,2
6,Taman Impian Jaya Ancol,11,5
6,Taman Impian Jaya Ancol,11,2
6,Taman Impian Jaya Ancol,23,2
6,Taman Impian Jaya Ancol,31,2
6,Taman Impian Jaya Ancol,43,3
6,Taman Impian Jaya Ancol,65,5
6,Taman Impian Jaya Ancol,68,1
6,Taman Impian Jaya Ancol,81,2
6,Taman Impian Jaya Ancol,90,1
6,Taman Impian Jaya Ancol,95,2
6,Taman Impian Jaya Ancol,104,5
6,Taman Impian Jaya Ancol,129,3
6,Taman Impian Jaya Ancol,156,5
6,Taman Impian Jaya Ancol,161,5
6,Taman Impian Jaya Ancol,170,1
6,Taman Impian Jaya Ancol,182,2
6,Taman Impian Jaya Ancol,184,5
6,Taman Impian Jaya Ancol,258,4
6,Taman Impian Jaya Ancol,264,1
6,Taman Impian Jaya Ancol,280,1
6,Taman Impian Jaya Ancol,294,5
6,Taman Impian Jaya Ancol,295,1
6,Taman Impian Jaya Ancol,296,5
6,Taman Impian Jaya Ancol,296,3
7,Kebun Binatang Ragunan,78,4
7,Kebun Binatang Ragunan,78,2
7,Kebun Binatang Ragunan,101,3
7,Kebun Binatang Ragunan,107,2
7,Kebun Binatang Ragunan,113,3
7,Kebun Binatang Ragunan,123,4
7,Kebun Binatang Ragunan,126,4
7,Kebun Binatang Ragunan,129,3
7,Kebun Binatang Ragunan,134,5
7,Kebun Binatang Ragunan,142,3
7,Kebun Binatang Ragunan,146,2
7,Kebun Binatang Ragunan,148,3
7,Kebun Binatang Ragunan,161,1
7,Kebun Binatang Ragunan,164,4
7,Kebun Binatang Ragunan,169,1
7,Kebun Binatang Ragunan,196,2
7,Kebun Binatang Ragunan,201,3
7,Kebun Binatang Ragunan,250,4
7,Kebun Binatang Ragunan,277,5
7,Kebun Binatang Ragunan,278,1
7,Kebun Binatang Ragunan,278,1
7,Kebun Binatang Ragunan,297,5
8,Ocean Ecopark,14,4
8,Ocean Ecopark,18,3
8,Ocean Ecopark,33,4
8,Ocean Ecopark,47,5
8,Ocean Ecopark,50,3
8,Ocean Ecopark,65,1
8,Ocean Ecopark,91,5
8,Ocean Ecopark,92,5
8,Ocean Ecopark,112,4
8,Ocean Ecopark,118,2
8,Ocean Ecopark,148,1
8,Ocean Ecopark,156,5
8,Ocean Ecopark,160,3
8,Ocean Ecopark,170,3
8,Ocean Ecopark,175,2
8,Ocean Ecopark,181,5
8,Ocean Ecopark,185,2
8,Ocean Ecopark,195,4
8,Ocean Ecopark,195,5
8,Ocean Ecopark,201,5
8,Ocean Ecopark,222,1
8,Ocean Ecopark,242,1
8,Ocean Ecopark,247,2
8,Ocean Ecopark,248,2
8,Ocean Ecopark,253,3
8,Ocean Ecopark,259,2
8,Ocean Ecopark,262,5
8,Ocean Ecopark,271,2
8,Ocean Ecopark,299,4
8,Ocean Ecopark,300,1
9,Pelabuhan Marina,5,5
9,Pelabuhan Marina,15,4
9,Pelabuhan Marina,19,3
9,Pelabuhan Marina,20,2
9,Pelabuhan Marina,61,3
9,Pelabuhan Marina,64,1
9,Pelabuhan Marina,106,1
9,Pelabuhan Marina,117,2
9,Pelabuhan Marina,124,5
9,Pelabuhan Marina,127,4
9,Pelabuhan Marina,140,1
9,Pelabuhan Marina,156,1
9,Pelabuhan Marina,201,1
9,Pelabuhan Marina,211,3
9,Pelabuhan Marina,237,2
9,Pelabuhan Marina,267,2
9,Pelabuhan Marina,269,5
9,Pelabuhan Marina,271,2
9,Pelabuhan Marina,281,2
10,Pulau Tidung,75,2
10,Pulau Tidung,94,4
10,Pulau Tidung,107,2
10,Pulau Tidung,121,3
10,Pulau Tidung,122,3
10,Pulau Tidung,126,5
10,Pulau Tidung,136,2
10,Pulau Tidung,174,1
10,Pulau Tidung,175,4
