User,Alam,Hiburan,Kuliner,Olahraga,Rekreasi,Religius,Sejarah Edukasi,Seni Budaya
User 1,1.815,1.615,1.248,0,1.625,0,1.46,3.37
User 2,1.815,1.62,1.248,0,1.6975,0,1.46,3.37
User 3,1.815,1.615,1.248,0,1.6925,0,1.46,3.37
User 4,1.815,1.615,1.248,0,1.62,0,1.46,3.37
User 5,1.815,1.615,1.248,0,1.6925,0,1.46,3.37
User 6,1.815,1.62,1.248,0,1.69,0,1.46,3.37
User 7,1.815,1.615,1.244,0,1.62,0,1.46,3.375
User 8,1.815,1.62,1.244,0,1.69,0,1.46,3.37
User 9,1.82,1.615,1.238,0,1.565,0,1.46,2.875
User 10,1.82,1.61,1.138,0,1.4975,0,1.46,2.87
User 11,1.825,1.61,1.134,0,1.57,0,1.46,2.87
User 12,1.825,1.6,1.128,0,1.5725,0,1.465,2.865
User 13,1.83,1.6,1.044,0,1.5725,0,1.465,2.86
User 14,1.83,2.81,1.042,0,1.4975,0,1.465,2.88
User 15,1.835,1.575,1.044,0,1.4975,0,1.465,1.855
User 16,1.845,1.43,1.044,0,1.66,0,1.465,1.855
User 17,1.84,1.575,0.922,0,1.66,0,1.465,1.86
User 18,1.845,1.575,0.922,0,1.665,0,1.465,1.855
User 19,2.5,1.605,0.922,0,1.6625,0,1.465,1.865
User 20,1.85,1.605,0.922,0,1.6625,0,1.465,1.88
User 21,2.5,1.63,0.922,0,1.6625,0,1.465,1.875
User 22,2.5,1.465,0.922,0,1.665,0,1.465,1.875
User 23,2.5,1.465,0.922,0,1.665,0,1.465,1.93
User 24,2.5,1.495,0.924,0,1.6575,0,1.47,2.32
User 25,0.26,1.505,1.004,0,1.7025,0,1.47,2.33
User 26,0.26,1.5,1.002,0,1.7875,0,1.47,2.355
User 27,0.26,1.5,1.004,0,1.71,0,1.47,2.355
User 28,2.5,1.5,1.002,0,1.7125,0,1.47,2.355
User 29,0.26,1.44,1,0,1.7125,0,1.47,2.355
User 30,0.26,1.44,1,0,1.715,0,1.47,2.36
User 31,0.26,1.435,1,0,1.71,0,1.47,2.355
User 32,0.26,1.435,1,0,1.7125,0,1.47,2.355
User 33,0.265,1.495,1,0,1.7925,0,1.47,2.35
User 34,0.265,1.425,1,0,1.7925,0,1.47,2.355
User 35,0.265,1.415,0.996,0,1.9225,0,1.47,2.35
User 36,0.27,1.415,0.992,0,1.815,0,1.47,2.37
User 37,2.5,1.405,1.172,0,2.1175,0.5,1.47,2.345
User 38,2.5,1.41,1.164,0,1.925,0.51,1.47,3.33
User 39,2.5,1.4,0.978,0,1.9425,0.52,1.475,2.31
User 40,2.5,1.49,1.074,0,1.845,0.53,1.725,2.79
User 41,0.335,1.485,1.068,0,1.845,0.54,1.73,3.31
User 42,2.75,1.09,1.064,0,1.8525,0.54,1.73,3.305
User 43,2.755,1.085,1.062,0,1.865,0.55,1.735,3.3
User 44,2.76,1.165,1.058,0,1.63,0.56,1.74,2.675
User 45,2.765,1.16,1.054,0,1.9625,0.57,1.74,2.48
User 46,2.77,1.485,1.234,0,1.9625,0.58,1.755,2.48
User 47,2.77,1.475,1.232,0,1.7725,0.59,1.755,2.475
User 48,2.775,1.475,1.23,0,1.7825,0.6,1.775,2.46
User 49,2.78,1.515,1.23,0,1.7825,0.6,2.79,2.455
User 50,2.785,1.91,1.226,0,1.79,0.61,2.79,2.455
User 51,2.785,1.595,1.202,0,1.9875,0.62,2.795,2.45
User 52,2.79,1.585,2.094,0,2.17,0.62,2.795,2.68
User 53,2.795,1.15,1.19,0,2.5075,0.63,2.795,2.455
User 54,2.8,1.465,1.186,0,2.5225,0.63,1.78,2.68
User 55,2.81,1.87,1.262,0,2.815,0.64,2.805,2.675
User 56,2.875,1.865,1.258,0,2.8175,0.67,1.78,2.675
User 57,0.675,1.86,1.252,0,2.8175,0.69,1.79,2.69
User 58,2.885,1.85,1.278,0,2.8225,0.7,2.815,2.64
User 59,3.775,1.84,1.242,0,2.31,0.71,2.79,2.625
User 60,5,1.835,1.238,0,2.295,0.72,2.79,2.615
User 61,2.83,1.825,2.134,0.5,2.3125,0.73,2.825,2.615
User 62,0.73,1.77,1.266,0.5,2.3175,0.74,2.83,2.61
User 63,2.84,1.765,1.264,0.5,2.3175,0.74,2.835,2.61
User 64,2.845,1.76,1.22,0.51,2.3225,0.76,2.835,2.605
User 65,0.755,1.915,1.216,0.54,2.29,0.72,2.84,2.605
User 66,2.855,1.94,1.314,0.51,2.2925,0.72,2.845,2.6
User 67,0.76,1.945,1.314,0.6,2.295,0.73,2.85,2.595
User 68,0.785,1.885,1.324,0.58,1.255,0.74,2.855,2.595
User 69,0.775,2.09,1.374,0.58,1.2625,0.83,2.86,2.59
User 70,0.79,1.87,1.324,0.58,2.5025,0.76,2.865,2.585
User 71,0.8,2.065,1.318,0.58,1.47,0.77,2.87,2.585
User 72,0.815,2.05,1.31,0.58,1.2925,0.85,1.85,2.575
User 73,2.935,2.04,1.306,0.59,1.3125,0.8,2.885,2.575
User 74,2.945,2.02,1.294,0.6,2.3425,0.82,2.895,2.565
User 75,2.95,2.01,1.29,0.62,2.26,0.83,2.905,2.56
User 76,2.955,2,1.282,0.56,2.41,0.85,2.805,2.56
User 77,0.9,2.05,1.272,0.56,2.455,0.87,2.81,2.55
User 78,2.975,2.035,1.264,0.57,2.4475,0.9,2.93,2.545
User 79,2.985,1.945,1.256,0.57,2.4425,0.92,2.94,2.545
User 80,2.995,2.005,1.248,0.58,2.34,0.94,2.95,2.54
User 81,3.01,1.995,1.252,0.59,2.3275,0.96,2.96,2.53
User 82,3.015,1.9,1.21,0.6,2.3275,0.98,2.97,2.52
User 83,3.025,1.88,1.202,0.6,2.3325,1,2.98,2.52
User 84,3.035,1.865,1.218,0.61,2.3325,1.02,2.99,2.515
User 85,3.04,1.85,1.236,0.62,2.4325,1.03,2.995,2.51
User 86,3.05,1.84,1.222,1.3,2.52,1.06,3.005,2.5
User 87,3.06,1.825,1.218,1.27,2.5225,1.12,3.015,2.495
User 88,0.935,1.81,1.212,1.25,2.52,1.13,3.025,2.49
User 89,1.445,1.8,1.94,1.24,2.385,1.15,3.035,2.49
User 90,3.09,1.535,1.174,0.65,2.4375,1.17,3.045,2.48
User 91,3.66,1.52,1.146,0.84,2.4375,1.19,3.055,2.475
User 92,1.57,1.5,1.136,0.67,2.4375,1.2,3.06,2.475
User 93,3.12,1.485,1.13,0.67,2.4375,1.22,3.07,2.465
User 94,3.12,1.29,1.126,0.67,2.38,1.24,3.08,2.46
User 95,3.135,1.27,1.116,0.83,2.44,1.21,3.09,2.475
User 96,1.055,1.255,1.112,0.82,2.3775,1.23,3.1,2.48
User 97,1.05,1.24,1.104,0.82,2.3775,1.28,3.11,2.465
User 98,1.515,1.225,1.096,0.69,2.3775,1.26,3.115,2.455
User 99,3.695,1.21,1.09,0.7,2.3775,1.26,3.125,2.45
User 100,3.16,1.24,1.088,0.7,2.3775,1.26,5,2.45
User 101,1.075,1.43,1.088,0.71,2.5275,1.26,5,2.85
User 102,1.045,1.665,1.096,1.13,1.61,1.25,5,2.485
User 103,1.04,1.67,1.102,0.88,1.61,1.25,5,2.455
User 104,1.045,1.425,1.102,1.13,1.61,1.25,5,2.85
User 105,1.045,1.43,1.1,1.13,1.61,1.25,5,2.85
User 106,1.035,1.67,1.1,0.88,1.6075,1.25,5,2.845
User 107,1.045,1.405,1.104,1.13,1.6075,1.25,4.885,2.85
User 108,1.05,1.65,1.148,1.13,1.61,1.25,4.88,2.85
User 109,1.05,1.64,2.06,1.13,1.585,1.25,4.765,2.845
User 110,1.05,1.635,1.244,1.13,1.5875,1.25,4.77,2.445
User 111,1.01,1.205,1.526,0.87,1.4625,1.33,2.74,2.845
User 112,1.005,1.205,1.33,1.12,1.4175,0.77,2.405,1.07
User 113,1,1.63,2.134,1.12,1.4325,0.76,2.405,1.07
